Male,Female,cBacilli,cBacteroidia,cBetaproteobacteria,cClostridia,cGammaproteobacteria,cActinobacteria,cFusobacteria,cFlavobacteriia,cSphingobacteriia,cDeltaproteobacteria,cEpsilonproteobacteria,cAlphaproteobacteria,cSpirochaetes,cErysipelotrichi,cThermotogae,cNostocophycideae,cMollicutes,cChlamydiia,cSynergistia,cDeinococci,cAnaerolineae,cThermoprotei,cOscillatoriophycideae,cThermodesulfobacteria,cDeferribacteres,cGroup II,cOpitutae,cCaldithrixae,cNitriliruptoria,cThermobacula,cFibrobacteria,cAcidimicrobiia,cSynechococcophycideae,cNitrospira,cHolophagae,cKtedonobacteria,cBrocadiae,cAcidobacteria,cChrysiogenetes,cDehalococcoidetes,cVerrucomicrobiae,cLeptospirae,cMethanomicrobia,cMethanobacteria,cChlorobia,cChloroflexi,cThermoleophilia,cHalobacteria,cMethylacidiphilae,cArchaeoglobi,cPedosphaerae,cPlanctomycetia,cSolibacteres,cArmatimonadia,cBrachyspirae,cCaldisericia,cSpartobacteria
1,0,4.63722811,3.970571339,1.33192738,3.16399895,1.150860109,0.899011996,0.202726036,-0.142947846,-0.205498357,-0.218666886,-0.269694935,-0.277925266,-0.300970191,-0.2762792,-0.291093795,-0.297678059,-0.287801662,-0.307554456,-0.320722984,-0.319076918,-0.312492654,-0.319076918,-0.317430852,-0.319076918,-0.319076918,-0.319076918,-0.320722984,-0.320722984,-0.319076918,-0.319076918,-0.320722984,-0.320722984,-0.320722984,-0.319076918,-0.319076918,-0.320722984,-0.320722984,-0.320722984,-0.320722984,-0.319076918,-0.320722984,-0.320722984,-0.320722984,-0.320722984,-0.320722984,-0.320722984,-0.320722984,-0.320722984,-0.320722984,-0.320722984,-0.320722984,-0.320722984,-0.320722984,-0.320722984,-0.320722984,-0.320722984,-0.320722984
1,0,4.599045866,3.007981484,3.274342709,1.957630388,2.381144735,0.553906734,0.215627979,-0.03120009,-0.222980171,-0.23363462,-0.277140287,-0.293121961,-0.325085308,-0.325085308,-0.302000668,-0.32774892,-0.321533825,-0.324197437,-0.333076144,-0.322421695,-0.32774892,-0.332188274,-0.333076144,-0.330412532,-0.329524661,-0.333964015,-0.328636791,-0.333964015,-0.334851886,-0.334851886,-0.333964015,-0.333964015,-0.333964015,-0.333964015,-0.333076144,-0.334851886,-0.333964015,-0.334851886,-0.334851886,-0.334851886,-0.332188274,-0.334851886,-0.334851886,-0.334851886,-0.333964015,-0.334851886,-0.334851886,-0.334851886,-0.334851886,-0.334851886,-0.334851886,-0.334851886,-0.334851886,-0.334851886,-0.334851886,-0.334851886,-0.334851886
0,0,4.423996635,3.835456627,2.996651555,1.670976657,1.977238528,0.34884718,0.809126343,-0.054705235,-0.19777343,-0.248347829,-0.303927528,-0.294021203,-0.323948733,-0.318839155,-0.310914094,-0.327389878,-0.316545058,-0.326347107,-0.334793553,-0.329058312,-0.33020536,-0.331143854,-0.331873794,-0.331665239,-0.333229396,-0.333750782,-0.3309353,-0.33416789,-0.334689276,-0.334793553,-0.335002107,-0.335002107,-0.335002107,-0.33489783,-0.334793553,-0.335210661,-0.33489783,-0.33489783,-0.335314938,-0.33489783,-0.335210661,-0.335106384,-0.335314938,-0.335002107,-0.335210661,-0.335210661,-0.335210661,-0.335314938,-0.335314938,-0.335210661,-0.335314938,-0.335314938,-0.335314938,-0.335314938,-0.335314938,-0.335314938,-0.335314938
0,1,3.687096068,3.832842196,4.287503077,2.2895394,0.18409386,0.024288259,-0.151983798,-0.210572436,-0.150645336,-0.251153701,-0.286752288,-0.262390032,-0.281072261,-0.287089715,-0.277754225,-0.287697085,-0.27921641,-0.284457782,-0.289822877,-0.286493594,-0.287865798,-0.28911428,-0.288495663,-0.288000769,-0.289103032,-0.28809075,-0.289654163,-0.289305488,-0.289597926,-0.289665411,-0.2899466,-0.28990161,-0.289924105,-0.289789134,-0.289834125,-0.290047829,-0.289755392,-0.289924105,-0.2899466,-0.289440459,-0.289912858,-0.290047829,-0.290059076,-0.290036581,-0.290036581,-0.290070324,-0.290025334,-0.290070324,-0.290036581,-0.290070324,-0.290070324,-0.290070324,-0.290070324,-0.290070324,-0.290070324,-0.290070324,-0.290070324
0,1,6.251393659,1.963248289,2.174375905,1.674912192,1.051778256,0.611758241,0.259195619,-0.044855478,-0.197905919,-0.231385702,-0.250517007,-0.240951355,-0.278530704,-0.285363313,-0.262815703,-0.268965052,-0.28331353,-0.281947009,-0.288779617,-0.289462878,-0.287413096,-0.287413096,-0.288096357,-0.289462878,-0.290146139,-0.290146139,-0.291512661,-0.2908294,-0.2908294,-0.2908294,-0.292195922,-0.291512661,-0.291512661,-0.291512661,-0.292195922,-0.292195922,-0.291512661,-0.291512661,-0.292195922,-0.292195922,-0.292195922,-0.291512661,-0.292195922,-0.292195922,-0.292195922,-0.292195922,-0.292195922,-0.292195922,-0.292195922,-0.292195922,-0.292195922,-0.292195922,-0.292195922,-0.292195922,-0.292195922,-0.292195922,-0.292195922
0,1,4.129207533,4.125123551,2.88359278,2.083132152,1.832375608,0.399714443,0.670074104,-0.033187734,-0.194096656,-0.261073974,-0.295379429,-0.299463412,-0.327234495,-0.31416575,-0.311715361,-0.320700123,-0.324784106,-0.331318478,-0.337036054,-0.329684885,-0.334585664,-0.335402461,-0.331318478,-0.336219257,-0.335402461,-0.337036054,-0.331318478,-0.336219257,-0.334585664,-0.335402461,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.333768868,-0.336219257,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054,-0.337036054
0,1,4.408353973,3.388922116,2.782773445,3.289734152,0.925754334,0.799014158,0.093677522,-0.093677522,-0.176334159,-0.247969911,-0.292053451,-0.258990796,-0.314095221,-0.314095221,-0.275522123,-0.270011681,-0.308584778,-0.292053451,-0.330626548,-0.325116105,-0.325116105,-0.319605663,-0.325116105,-0.325116105,-0.330626548,-0.330626548,-0.330626548,-0.319605663,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.325116105,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548,-0.330626548
0,1,2.620584823,5.047056245,1.616973707,1.038871977,3.987885865,-0.031230736,-0.134477983,-0.105110286,-0.206631376,-0.239382342,-0.284837829,-0.274204697,-0.28543623,-0.28861236,-0.283341825,-0.288819499,-0.285390199,-0.283756103,-0.290407564,-0.286656048,-0.289947256,-0.289763132,-0.290016302,-0.28937187,-0.289509962,-0.290016302,-0.290200425,-0.289763132,-0.290315503,-0.290453595,-0.290522642,-0.290545657,-0.290499626,-0.290499626,-0.290246456,-0.290522642,-0.290407564,-0.290453595,-0.290407564,-0.290522642,-0.290476611,-0.290499626,-0.290545657,-0.290545657,-0.290545657,-0.290499626,-0.290522642,-0.290545657,-0.290545657,-0.290545657,-0.290545657,-0.290545657,-0.290545657,-0.290545657,-0.290545657,-0.290545657,-0.290545657
0,1,4.48168856,4.619231865,1.25280312,2.716173686,0.934875154,0.45911061,0.299019223,-0.030182784,-0.188019363,-0.24438957,-0.228605912,-0.291740543,-0.289485735,-0.271447269,-0.289485735,-0.289485735,-0.291740543,-0.29625016,-0.30977901,-0.307524201,-0.30977901,-0.307524201,-0.303014585,-0.303014585,-0.305269393,-0.30977901,-0.307524201,-0.30977901,-0.30977901,-0.307524201,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.307524201,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901,-0.30977901
0,1,5.00708761,2.817475977,2.668656219,2.951298395,1.263520831,0.650937176,0.277157319,0.063733635,-0.207372126,-0.248903221,-0.262746919,-0.299663448,-0.307738939,-0.277744259,-0.312353505,-0.299663448,-0.311199864,-0.322736279,-0.326197204,-0.325043562,-0.325043562,-0.327350845,-0.326197204,-0.326197204,-0.327350845,-0.328504487,-0.321582638,-0.328504487,-0.329658128,-0.33081177,-0.33081177,-0.329658128,-0.33081177,-0.33081177,-0.329658128,-0.33081177,-0.329658128,-0.33081177,-0.33081177,-0.329658128,-0.33081177,-0.33081177,-0.33081177,-0.33081177,-0.33081177,-0.33081177,-0.33081177,-0.33081177,-0.33081177,-0.33081177,-0.33081177,-0.33081177,-0.33081177,-0.33081177,-0.33081177,-0.33081177,-0.33081177
