Male,Female,cBacilli,cBacteroidia,cBetaproteobacteria,cClostridia,cGammaproteobacteria,cActinobacteria,cFusobacteria,cFlavobacteriia,cSphingobacteriia,cDeltaproteobacteria,cEpsilonproteobacteria,cAlphaproteobacteria,cSpirochaetes,cErysipelotrichi,cThermotogae,cNostocophycideae,cMollicutes,cChlamydiia,cSynergistia,cDeinococci,cAnaerolineae,cThermoprotei,cOscillatoriophycideae,cThermodesulfobacteria,cDeferribacteres,cGroup II,cOpitutae,cCaldithrixae,cNitriliruptoria,cThermobacula,cFibrobacteria,cAcidimicrobiia,cSynechococcophycideae,cNitrospira,cHolophagae,cKtedonobacteria,cBrocadiae,cAcidobacteria,cChrysiogenetes,cDehalococcoidetes,cVerrucomicrobiae,cLeptospirae,cMethanomicrobia,cMethanobacteria,cChlorobia,cChloroflexi,cThermoleophilia,cHalobacteria,cMethylacidiphilae,cArchaeoglobi,cPedosphaerae,cPlanctomycetia,cSolibacteres,cArmatimonadia,cBrachyspirae,cCaldisericia,cSpartobacteria
1,0,3012,2607,1004,2117,894,741,318,108,70,62,31,26,12,27,18,14,20,8,0,1,5,1,2,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,5557,3765,4065,2582,3059,1001,620,342,126,114,65,47,11,11,37,8,15,12,2,14,8,3,2,5,6,1,7,1,0,0,1,1,1,1,2,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,45641,39997,31953,19240,22177,6561,10975,2691,1319,834,301,396,109,158,234,76,180,86,5,60,49,40,33,35,20,15,42,11,6,5,3,3,3,4,5,1,4,4,0,4,1,2,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0
0,1,353602,366560,406983,229348,42157,27949,12277,7068,12396,3460,295,2461,800,265,1095,211,965,499,22,318,196,85,140,184,86,176,37,68,42,36,11,15,13,25,21,2,28,13,11,56,14,2,1,3,3,0,4,0,3,0,0,0,0,0,0,0,0
0,1,9577,3301,3610,2879,1967,1323,807,362,138,89,61,75,20,10,43,34,13,15,5,4,7,7,6,4,3,3,1,2,2,2,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,5468,5463,3943,2963,2656,902,1233,372,175,93,51,46,12,28,31,20,15,7,0,9,3,2,7,1,2,0,7,1,3,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,860,675,565,657,228,205,77,43,28,15,7,13,3,3,10,11,4,7,0,1,1,2,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,126486,231914,82880,57762,185894,11267,6781,8057,3646,2223,248,710,222,84,313,75,224,295,6,169,26,34,23,51,45,23,15,34,10,4,1,0,2,2,13,1,6,4,6,1,3,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
0,1,2125,2186,693,1342,552,341,270,124,54,29,36,8,9,17,9,9,8,6,0,1,0,1,3,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,4627,2729,2600,2845,1382,851,527,342,107,71,59,27,20,46,16,27,17,7,4,5,5,3,4,4,3,2,8,2,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
