ID,Bacilli,Clostridia,Bacteroidia,Betaproteobacteria,Gammaproteobacteria,Actinobacteria,Fusobacteria,Flavobacteriia,Epsilonproteobacteria,Sphingobacteriia,Erysipelotrichi,Deltaproteobacteria,Spirochaetes,Mollicutes,Nostocophycideae,Alphaproteobacteria,Chlamydiia,Group II,Deinococci,Oscillatoriophycideae,Opitutae,Ktedonobacteria,Anaerolineae,Synergistia,Nitriliruptoria,Acidobacteria,Thermotogae,Synechococcophycideae,Fibrobacteria,Brocadiae,Deferribacteres,Holophagae,Thermodesulfobacteria,Thermoprotei,Caldithrixae,Nitrospira,Dehalococcoidetes,Leptospirae,Acidimicrobiia,Verrucomicrobiae,Archaeoglobi,Chlorobia,Chrysiogenetes,Methylacidiphilae,Spartobacteria,Planctomycetia,Thermobacula,Methanomicrobia,Gemmatimonadetes,Thermoleophilia,Chloroflexi,Armatimonadia
TR2B,9451,4558,3424,19568,11489,24831,1117,904,274,92,30,103,6,29,69,20,10,1,11,13,17,6,7,1,3,0,1,3,8,1,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2A,11092,4741,3914,22054,14090,29276,1329,1231,425,78,31,73,10,16,28,18,6,2,10,1,15,2,5,0,1,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1B,7914,3166,2405,11690,3773,2064,455,277,105,32,18,35,5,14,16,10,14,3,3,5,7,2,2,1,2,0,3,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1A,4256,3007,1401,5768,1842,1020,313,319,142,39,8,33,2,17,19,14,1,0,6,1,3,0,3,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTR2B,9439,2531,2819,13334,11807,19117,565,863,217,97,27,89,9,22,92,28,19,59,7,11,13,12,6,0,1,0,1,0,5,2,1,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0
HTR2A,12578,3637,3361,15708,13664,25359,787,1038,281,89,28,76,8,26,96,25,14,3,10,17,9,16,4,1,4,2,1,1,4,0,2,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
HTR1B,11106,9064,9300,17233,7222,3059,299,583,281,61,51,60,3,33,59,20,21,13,7,9,9,5,5,1,3,2,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTR1A,11096,12717,13310,18592,8312,3107,239,687,403,51,42,48,9,17,32,15,18,4,1,8,3,10,3,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G16002B,12899,21476,10573,322,4821,9672,2736,1086,889,115,571,72,37,59,66,23,14,0,17,7,2,6,4,4,0,2,1,3,3,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G16002A,10511,17325,8089,192,3458,7054,1944,831,666,99,452,42,17,27,51,18,5,0,9,5,2,4,2,3,2,0,2,1,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G16001B,7836,21496,16579,3571,3707,5629,1551,1509,1531,439,137,104,35,74,70,30,43,29,20,14,9,10,7,7,8,5,1,2,0,1,3,3,1,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
G16001A,6082,15121,13457,2665,2521,4439,1196,1275,931,303,94,61,24,51,38,15,25,0,10,9,4,6,6,4,2,3,1,5,0,1,0,4,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16002B,3317,4552,1823,190,1177,821,410,133,118,30,15,24,8,23,9,9,3,2,5,6,0,2,0,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16002A,5764,9681,3544,276,2154,1567,549,275,306,34,29,14,12,10,23,4,6,0,2,2,2,3,0,2,0,0,0,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16001B,12486,21177,4632,1101,912,1082,225,1815,431,376,41,70,18,84,31,24,20,10,15,11,7,4,3,5,1,2,1,8,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
16001A,27996,52815,17252,4327,2445,2016,561,3145,1318,656,102,90,27,98,42,20,23,1,33,10,2,4,0,6,5,0,1,6,0,2,1,0,5,2,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0
15095D,12665,10897,15806,12131,9612,1891,6645,2434,675,180,61,61,61,50,21,17,6,2,7,7,6,2,5,3,1,1,0,2,1,2,1,1,2,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15095A,8280,5790,9565,6523,4078,1660,3543,1218,290,110,49,48,27,62,82,26,10,6,9,15,5,9,7,0,2,4,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15093B,20177,16818,5859,4343,1284,7857,174,863,261,94,30,61,5,39,32,33,16,54,13,8,4,4,4,2,4,1,3,1,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15093A,24336,21289,6714,4307,1202,10314,214,1041,235,85,48,50,8,42,35,26,17,3,12,7,2,6,7,1,5,5,4,3,2,2,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
15092B,51713,14624,8244,2083,2877,4718,1658,190,242,94,192,27,3,32,31,19,14,5,2,8,4,1,1,3,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
